#Title : in-situ files catalog
#Description : catalog of available in-situ files compliant with Marine Data Store
#Project : Copernicus Marine In Situ TAC
#Format Version : 3.0
#Last Update : 2026-05-05T01:39:04Z
#catalog_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,institution,date_update,data_mode,parameters
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/AD/GL_TS_AD_6100284.nc,43.31890,43.31890,4.86620,4.86620,2009-06-02T09:40:49Z,2021-01-13T14:07:20Z,Ifremer Head Office;IRDN - LERCM - Toulon;CEA - Climate and Environmental Sciences Laboratory;Mediterranean Institute of Oceanography - La Seyne sur Mer;European Research and Teaching Centre for Environmental Geosciences;Cerema,2026-01-15T19:47:55Z,R, DEPH TEMP HCDT HCSP
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/AD/GL_TS_AD_FABB.nc,-35.11283,49.93947,-29.02653,62.91555,2004-01-03T16:38:25Z,2019-02-18T10:47:36Z,Hydrographic and oceanographic service of the French navy,2025-11-13T01:34:59Z,R, DEPH EWCT NSCT VCSP
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/AD/GL_TS_AD_FGTO.nc,37.02020,43.75527,3.09391,16.06020,2020-02-07T09:42:59Z,2024-09-20T07:48:29Z,Ifremer - Scientific Information Systems for the sea;Ifremer Head Office,2025-11-13T01:29:16Z,R, DEPH EWCT NSCT VCSP
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/AD/GL_TS_AD_FMCY.nc,-34.94555,76.26637,-124.65731,-0.00003,2006-04-25T09:19:56Z,2024-04-15T23:36:09Z,Ifremer - Scientific Information Systems for the sea,2025-11-13T01:48:56Z,R, DEPH EWCT NSCT VCSP
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/AD/GL_TS_AD_FNCM.nc,-53.90302,79.13086,0.00001,58.47295,2001-01-04T16:47:52Z,2024-07-31T07:10:42Z,Ifremer - Scientific Information Systems for the sea;Ifremer Head Office,2025-11-13T02:10:05Z,R, DEPH EWCT NSCT VCSP
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/AD/GL_TS_AD_FNFP.nc,-20.03169,64.14871,-52.53455,12.74050,2001-08-25T07:58:55Z,2024-09-09T07:01:41Z,IEO-CSIC - Spanish Oceanographic Institute;Ifremer - Scientific Information Systems for the sea;Marine Institute;British Oceanographic Data Centre;Ifremer Head Office,2025-11-13T01:45:27Z,R, DEPH EWCT NSCT VCSP
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/AD/GL_TS_AD_FNUR.nc,-39.02054,47.60570,-10.13290,-0.00002,2007-05-21T20:47:07Z,2024-09-14T08:47:34Z,Ifremer - Scientific Information Systems for the sea,2025-11-13T02:13:02Z,R, DEPH EWCT NSCT VCSP
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/AD/GL_TS_AD_FZVN.nc,-10.04250,48.32408,-78.80434,67.74622,2001-06-10T07:08:30Z,2014-07-22T13:42:01Z,Ifremer - Scientific Information Systems for the sea,2025-11-13T02:05:45Z,R, DEPH EWCT NSCT VCSP
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/AD/IR_PR_AD_ElCampelloBuoy.nc,0.0,38.4376,-0.385451,0.0,2022-11-03T10:30:00Z,2025-06-23T09:00:00Z,Aanderaa Data Instruments AS,2026-05-03T09:33:26Z,R, DEPH PRECISE_LATITUDE PRECISE_LONGITUDE HCSP HCDT
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/AD/IR_PR_AD_VillajoyosaBuoy.nc,38.4959,38.4987,-0.205804,0.0,2025-07-24T06:30:00Z,2026-04-30T23:30:00Z,AVRAMAR ESPAÑA ACUICULTURA S.L.;SIDMAR Estudios y Servicios Oceanograficos,2026-05-03T09:33:52Z,R, DEPH PRECISE_LATITUDE PRECISE_LONGITUDE HCSP HCDT
