#Title : in-situ files catalog
#Description : catalog of available in-situ files compliant with Marine Data Store
#Project : Copernicus Marine In Situ TAC
#Format Version : 3.0
#Last Update : 2026-05-06T13:06:06Z
#catalog_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,institution,date_update,data_mode,parameters
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/BS_TS_TG_IOC-erdek_20260406.nc,40.3899,40.3899,27.8452,27.8452,2026-04-06T00:00:00Z,2026-04-06T23:55:00Z,The Ministry of National Defense - General Command of Mapping,2026-04-07T19:49:10Z,R, DEPH SLEV
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/BS_TS_TG_IOC-maer_20260406.nc,40.969,40.969,27.9622,27.9622,2026-04-06T00:00:00Z,2026-04-06T23:55:00Z,The Ministry of National Defense - General Command of Mapping,2026-04-07T19:49:16Z,R, DEPH SLEV
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/BS_TS_TG_IOC-yalo_20260406.nc,40.662,40.662,29.2777,29.2777,2026-04-06T00:00:00Z,2026-04-06T23:55:00Z,The Ministry of National Defense - General Command of Mapping,2026-04-07T19:49:21Z,R, DEPH SLEV
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_PR_GL_6800455_20260406.nc,40.23253,40.28458,4.12617,4.14992,2026-04-06T02:45:32Z,2026-04-06T22:21:26Z,CNRS- Insu Technical Division- La Seyne-sur-Mer,2026-04-08T01:30:20Z,R, PRES TEMP TEMP_DOXY PSAL CNDC DOX2 BBP700 CDOM CPHL
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_PR_GL_8901190_20260406.nc,42.96988,43.10270,8.22257,8.36118,2026-04-06T00:34:22Z,2026-04-06T23:06:57Z,ALSEAMAR,2026-05-04T13:32:10Z,R, PRES TEMP TEMP_CNDC PSAL CNDC
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_PR_PF_2903795_20260406.nc,38.63892,38.63892,1.73135,1.73135,2026-04-06T09:52:30Z,2026-04-06T09:52:30Z,National Institute of Oceanography and Applied Geophysics - OGS- Division of Oceanography,2026-04-06T14:30:26Z,M, PRES TEMP PSAL DOX2 DOX2_ADJUSTED DOX2_ADJUSTED_ERROR
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_PR_PF_2904085_20260406.nc,34.83431,34.83431,25.08120,25.08120,2026-04-06T14:28:31Z,2026-04-06T14:28:31Z,National Institute of Oceanography and Applied Geophysics - OGS- Division of Oceanography,2026-04-06T19:30:22Z,M, PRES TEMP PSAL DOX2 DOX2_ADJUSTED DOX2_ADJUSTED_ERROR DOWN_IRRADIANCE380 DOWN_IRRADIANCE443 DOWN_IRRADIANCE490 DOWN_IRRADIANCE555
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_PR_PF_3902474_20260406.nc,38.93210,38.93210,24.92429,24.92429,2026-04-06T04:53:20Z,2026-04-06T04:53:20Z,Hellenic Centre for Marine Research- Institute of Oceanography,2026-04-06T08:30:43Z,R, PRES TEMP PSAL
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_PR_PF_3902691_20260406.nc,40.28732,40.28732,6.31349,6.31349,2026-04-06T10:01:45Z,2026-04-06T10:01:45Z,National Institute of Oceanography and Applied Geophysics - OGS- Division of Oceanography,2026-04-06T16:30:16Z,R, PRES TEMP PSAL DOX2 DOWN_IRRADIANCE380 DOWN_IRRADIANCE443 DOWN_IRRADIANCE490 DOWN_IRRADIANCE555
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_PR_PF_4903924_20260406.nc,37.32546,37.32546,6.86915,6.86915,2026-04-06T22:20:00Z,2026-04-06T22:20:00Z,Balearic Islands Coastal Observing and Forecasting System,2026-04-07T02:31:23Z,R, PRES TEMP PSAL
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_PR_PF_4903974_20260406.nc,34.77649,34.77649,34.41003,34.41003,2026-04-06T00:35:12Z,2026-04-06T00:35:12Z,National Institute of Oceanography and Applied Geophysics - OGS- Division of Oceanography,2026-04-06T06:30:54Z,M, PRES TEMP PSAL DOX2 DOX2_ADJUSTED DOX2_ADJUSTED_ERROR DOWN_IRRADIANCE380 DOWN_IRRADIANCE443 DOWN_IRRADIANCE490 DOWN_IRRADIANCE555
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_PR_PF_5907147_20260406.nc,42.24298,42.24298,8.35771,8.35771,2026-04-06T10:44:26Z,2026-04-06T10:44:26Z,CNR- National Research Council- Institute of Atmospheric Sciences and Climate (Rome),2026-04-07T15:32:46Z,M, PRES TEMP PSAL DOX2 DOX2_ADJUSTED DOX2_ADJUSTED_ERROR BBP700 BBP700_ADJUSTED CDOM CPHL CPHL_ADJUSTED FLUO FLUO_ADJUSTED
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_PR_PF_6903820_20260406.nc,40.35714,40.35714,7.93936,7.93936,2026-04-06T01:13:20Z,2026-04-06T01:13:20Z,National Institute of Oceanography and Applied Geophysics - OGS- Division of Oceanography,2026-04-06T05:32:16Z,M, PRES PRES_ADJUSTED TEMP TEMP_ADJUSTED PSAL PSAL_ADJUSTED
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_PR_PF_6990658_20260406.nc,35.00263,35.00263,18.59075,18.59075,2026-04-06T04:30:00Z,2026-04-06T04:30:00Z,National Institute of Oceanography and Applied Geophysics - OGS- Division of Oceanography,2026-04-06T08:31:38Z,M, PRES PRES_ADJUSTED PRES_ADJUSTED_ERROR TEMP TEMP_ADJUSTED TEMP_ADJUSTED_ERROR PSAL PSAL_ADJUSTED PSAL_ADJUSTED_ERROR DOX2 DOX2_ADJUSTED DOX2_ADJUSTED_ERROR
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_PR_PF_7902387_20260406.nc,33.61755,33.61755,32.89776,32.89776,2026-04-06T19:31:57Z,2026-04-06T19:31:57Z,National Institute of Oceanography and Applied Geophysics - OGS- Division of Oceanography,2026-04-07T00:32:59Z,M, PRES TEMP PSAL DOX2 DOX2_ADJUSTED DOX2_ADJUSTED_ERROR DOWN_IRRADIANCE380 DOWN_IRRADIANCE443 DOWN_IRRADIANCE490 DOWN_IRRADIANCE555
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_RV_HF_HFR-ARPAS-PTRM_20260406.nc,40.75,41.25,8.16,8.883,2026-04-05T23:30:00Z,2026-04-06T23:30:00Z,ARPAS,2026-04-07T00:17:29Z,R, RNGE BEAR DEPH
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_RV_HF_HFR-CALYPSO-BARK_20260406.nc,35.74,36.88,13.68,15.38,2026-04-05T23:30:00Z,2026-04-06T23:30:00Z,University of Malta,2026-04-06T23:52:39Z,R, RNGE BEAR DEPH
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_RV_HF_HFR-CALYPSO-CENC_20260406.nc,35.74,36.88,13.68,15.38,2026-04-05T23:30:00Z,2026-04-06T23:30:00Z,University of Malta,2026-04-06T23:52:43Z,R, RNGE BEAR DEPH
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_RV_HF_HFR-CALYPSO-LAPS_20260406.nc,35.74,36.88,13.68,15.38,2026-04-05T23:30:00Z,2026-04-06T23:30:00Z,University of Malta,2026-04-06T23:52:54Z,R, RNGE BEAR DEPH
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_RV_HF_HFR-CALYPSO-LICA_20260406.nc,35.74,36.88,13.68,15.38,2026-04-05T23:30:00Z,2026-04-06T23:30:00Z,University of Palermo,2026-04-06T23:52:58Z,R, RNGE BEAR DEPH
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_RV_HF_HFR-CALYPSO-MRAG_20260406.nc,35.74,36.88,13.68,15.38,2026-04-05T23:30:00Z,2026-04-06T23:30:00Z,Institute for the study of anthropic impacts and sustainability in the marine environment - Capo Granitola (CNR-IAS),2026-04-06T23:52:46Z,R, RNGE BEAR DEPH
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_RV_HF_HFR-CALYPSO-POZZ_20260406.nc,35.74,36.88,13.68,15.38,2026-04-05T23:30:00Z,2026-04-06T23:30:00Z,University of Palermo,2026-04-06T23:52:50Z,R, RNGE BEAR DEPH
